ID,new_topic,post,GT Stance,predictions,predicted_stance_ BERTTWEET
20349,donald trump,@thehill @greta @realdonaldtrump now you know the left is afraid of a executive over politicians < hang in there donald #semst,UNKNOWN,@thehill @greta @realdonaldtrump @thehill @gre,AGAINST
20350,donald trump,gop candidate predictions? america decides to play the trump card and go with the man with the plan. #semst,UNKNOWN,2016????ttt #sem,AGAINST
20351,donald trump,what does ivana,NBC,do? do? does ivana do?a do? do,FAVOR
20352,donald trump,corporate america showing there asses,over #trump is just wrong! I am making note! #SemST,america showing their asses. Corporate america showing their asses.,AGAINST
20353,donald trump,"if there was such a thing as the ""american"" hitler. donald trump would probably be that guy. #nationalism #semst",UNKNOWN,there was a hitler. he would probably be that guy. if there,AGAINST
20354,donald trump,#preztrump had a great week,he's the BIG news story,#preztrump #preztrump had a great week! #p,FAVOR
20355,donald trump,the way @realdonaldtrump is taking flak,he must be over the target. #SemST,@realdonaldtrump is taking flak for it. @realdonald,AGAINST
20356,donald trump,@drakeking15your gay agenda will be met with the wrath of god #semst,UNKNOWN,15 @drakeking15your gay agenda will be met with the wrath,AGAINST
20357,donald trump,fuck you obama,I will continue to fly my confederate flag and I'm going to fly it proudly! Renaming American streets? WTF? #SemST,"obama, fuck you obama fuck you",AGAINST
20358,donald trump,@boxxers06 this may be true. however,many Americans also travel to these and other places to do the exact same thing.  #SemST,@boxxers06 @boxxers06 @boxxers06 @boxxers,FAVOR
20359,donald trump,this country needs a president to take control,cut through the BS,needs a president to take control of this country. This country needs a president to take,FAVOR
20360,donald trump,anyone who is against @realdonaldtrump 4 president,has no clue of his success and the potential of greatness he can do 4 us. #SemST,@realdonaldtrump 4 president @realdonaldtrump 4 president @,FAVOR
20361,donald trump,"@business  ""@hillaryclinton can't even manage @billclinton and she wants to be @potus"" #lol #ohhillno #stophillary2016 #semst",UNKNOWN,"@business ""@hillaryclinton can't even manage @billclinton and",AGAINST
20362,donald trump,looking at presidential candidates,there is only one candidate,.. candidates.......,FAVOR
20363,donald trump,@realdonaldtrump had a point and one the liberal media won't dare come close to! we have a fragile and wide open border!  #semst,UNKNOWN,@realdonaldtrump had a point and one the liberal media won't,FAVOR
20364,donald trump,@realdonaldtrump first time voting and i'm definitely voting for trump #semst,UNKNOWN,@realdonaldtrump first time voting and i'm definitely voting for,FAVOR
20365,donald trump,5. obama could kill us all with these race wars and black lives matters stuff. divide and conquer. #tcot #semst,UNKNOWN,4. obama could kill us all with these race wars and black lives matters,AGAINST
20366,donald trump,@realdonaldtrump people are scared to hear the truth and that's why they fear you. if you don't tell it like it is,no one will. #SemST,trump @realdonaldtrump people are scared to hear the truth and that',FAVOR
20367,donald trump,@nytimes does he go to the dog groomer ? #semst,UNKNOWN,ss does he go to the dog groomer ? @nytimes,AGAINST
20368,donald trump,grate two see @realdonaldtrump get tuff on boarder control!  has my vote in 2016!  #tcot #illegalsstolejobs #semst,UNKNOWN,grate two grate two see @realdonaldtrump get,AGAINST
20369,donald trump,mexico sucks. what other conclusion is there for ppl to come here illegally?   #mexico #semst,UNKNOWN,sucks. sucks.. sucks..,AGAINST
20370,donald trump,wondering who is going to make your suites now. @realdonaldtrump  maybe the rapist and killers you speak about will. #semst,UNKNOWN,trump i am curious who is going to make your suites now. @real,AGAINST
20371,donald trump,@realdonaldtrump any more campaign stops in chicago anytime soon? good luck! #semst,UNKNOWN,trumptrump any more campaign stops in chicago anytime soon?trump,FAVOR
20372,donald trump,@greggjarrett @foxnews @geekgirl2u @realdonaldtrump will do fine with legal latino voters. #makeamericagreatagain #semst,UNKNOWN,#makeamericagreatagain #semst #semst #s,FAVOR
20373,donald trump,@moveon go screw yourselves & take killary with you! bring your bully shit to florida and see what happens! #boycottmoveon  #semst,UNKNOWN,#boycottmoveon #semst #boycottmoveon #,AGAINST
20374,donald trump,@usnavyjack @rnc when rnc calls,ask them to prove they're conservative. They can't and you'll enjoy it. #RNC #GOP #tcot #SemST,avyjack @rnc when rnc calls rnc calls r,FAVOR
20375,donald trump,political correctness should be an automatic disqualifier for all #gop candidates in 2016. #tcot #defeatcommunism #semst,UNKNOWN,.. #tcot #defeatcommunism #semst,AGAINST
20376,donald trump,trump wasn't precise but he's no bigot. employs thousands. contributed millions to charity. and loves america.not corrupt.capable #semst,UNKNOWN,trump was a bigot but he's no bigot.,AGAINST
20377,donald trump,@gop it's time you recognize @realdonaldtrump . this movement is real. #makeamericagreatagain #semst,UNKNOWN,@gop it's time you recognize @realdonaldtrump . this,FAVOR
20378,donald trump,there is no scarcity. there is no lack. no need for poverty. we are only victims of robbery by our leaders. #liberateyourself #semst,UNKNOWN,there is no shortage. no need for poverty. no need for poverty. no need for,AGAINST
20379,donald trump,@exjon @sweetfreedom29 @irishspy @katunews say's it all!!!!!!!!  #semst,UNKNOWN,@sweetfreedom29 @irisspy @katunews say's it all,FAVOR
20380,donald trump,@patdollard she is right on the money!!!!!  #semst,UNKNOWN,@patdollard @patdollard @patdollard @patdollard @patdollard,FAVOR
20381,donald trump,@10thamendment  funny. visited by muslims on  christmas eve last year. #semst,UNKNOWN,@10thamendment funny. visited by muslims on christmas eve,AGAINST
20382,donald trump,@realdonaldtrump favorites and retweets keep piling up for trump! he's killing the other candidates! #semst,UNKNOWN,@realdonaldtrump retweets and retwe,AGAINST
20383,donald trump,#nothingmoreamericanthan complaining about mexicans when you've been marketing off their labor. #semst,UNKNOWN,nothingmoreamericanthan complaining about mexicans when you've been,AGAINST
20384,donald trump,"le(a)nin left rt @uss_victory: @realdonaldtrump /#longliveliberty; better is a ""#capitalist"" for president than a #communist. #semst",UNKNOWN,False,AGAINST
20385,donald trump,@nytpolitics and will stop illegals from killing our citizens. #semst,UNKNOWN,@nytpolitics and will stop illegals from killing our citizens.,AGAINST
20386,donald trump,@realdonaldtrump the left should get off your back!  by the law anyone that crosses the border illegally is a criminal.  #semst,UNKNOWN,trumptrumprealdonaldtrump @realdonaldtru,AGAINST
20387,donald trump,thanks to @realdonaldtrump our hispanic community finally has woken up from the dead! #governmentandpolitics #whitehouse #semst,UNKNOWN,@realdonaldtrump our hispanic community finally has woken up,FAVOR
20388,donald trump,important part of platform.  make it illegal to talk during #truedetective  #gop #election2016 #semst,UNKNOWN,platform. platform. platform. platform. #gop2016 #se,FAVOR
20389,donald trump,i nominate donald trump for the new ambassador to mexico. #mexico #tacos #semst,UNKNOWN,i nominate donald trump for the new ambassador to mexico.,FAVOR
20390,donald trump,the only reason people have a problem with @realdonaldtrump is because he speaks the truth,which offends the soft Americans. #SemST,trumptrumptrumptrump @realdonaldtrump,FAVOR
20391,donald trump,@homerwhite @beaucards illegal!!!!!   doj,AG,_white @homerwhite @beaucards illegal!!!!! doj doj doj,AGAINST
20392,donald trump,donald trump is so crazy i'm scared if i was hanging with him he would think it would be okay to sell me back to slavery! #semst,UNKNOWN,i'm scared if i was hanging with him he would think it would,AGAINST
20393,donald trump,hey hypocrites @macys since u pull @realdonaldtrump merchandise from stores why dont u pull #racist #jayz crap #2facedliberals #semst,UNKNOWN,hey @macys since u pull @realdonaldtrump merchandise,AGAINST
20394,donald trump,"@realdonaldtrump comments about mexicans where he said ""somebody's doing the raping""  why do bigoted wm claim to be crime free? #semst",UNKNOWN,trump @realdonaldtrump comments about mexicans where,AGAINST
20395,donald trump,top 10 questions at declaration of independence signing  8. are all mexicans rapists and murderers? #4thjuly #semst,UNKNOWN,mexico. mexicans rapists and murderers?,AGAINST
20396,donald trump,@rwsurfergirl it's not a racial tragedy nor an islamic one either. only patriots care for all. #semst,UNKNOWN,@rwsurfergirl i'm not a racist. rw,AGAINST
20397,donald trump,@seanhannity @bobbyjindal he would be great vp for trump.. 2 of  kind,#MakeAmericaGreatAgain,@bobbyjindal he would be great vp for trump,FAVOR
20398,donald trump,great interview with @bobbyjindal tonight! i can vote for this guy! #hannity #lnyhbt #semst,UNKNOWN,great interview with @bobbyjindal tonight!!!!,FAVOR
20399,donald trump,witnessing the destruction of the #middleclass if you are black,white Hispanic,if you are black if you are black if you are black if you are,AGAINST
20400,donald trump,@marcorubio .  adios for your comments about @realdonaldtrump .. you are a disappointment. #semst,UNKNOWN,. . @marcorubio . @marcorubio,AGAINST
20401,donald trump,@georgetakei one of them might even be named #clarencethomas. #apologizetakei #semst,UNKNOWN,@georgetakei one of them might even be named #clarencetho,FAVOR
20402,donald trump,ez21:15 i have set the point of the sword against all their gates,that their heart may faint,:15 ez21:15 i have set the point of the sword against all their,AGAINST
20403,donald trump,cashinin a block) terror&4th july,terrorists win? B) Trump v NBC,a block) terror&4th july 4th july (cashin,AGAINST
20404,donald trump,the clothing #macys (made in mexico&china) #nbc (traders! #sodomites!) #univision (will pay!) #rollon!!! @realdonaldtrump #wiyh #semst,UNKNOWN,#nbc (traders! ) #nbc (traders,AGAINST
20405,donald trump,#danaperino is getting more snitful by the minute. says trump isn't believable,can't win. Hide&watch! #MakeAmericaGreatAgain #SemST,o is getting more snitful by the minute.o is getting more,AGAINST
20406,donald trump,trump and his comb over are gonna take over america #independenceday #semst,UNKNOWN,and his comb over are gonna take over america #independenceday #s,FAVOR
20407,donald trump,@professorf you have plenty of phones,internet access,ff you have plenty of phones. @professorf you have plenty of phones,FAVOR
20408,donald trump,i love the mexican people but they're smarter than us we must stop them! #semst,UNKNOWN,but they're smarter than us! but they're smarter than us!,FAVOR
20409,donald trump,terrorist takes selfie post on media,USA bombs target,takes selfie post on media on terror group media post on terror group takes selfie post on,AGAINST
20410,donald trump,@rodrickgibbons @byronyork @geoffcaldwell maybe if we make it a toll bridge,we may recoup some of the welfare payments! LOL #SemST,s @rodrickgibbons @byronyork @geoff,FAVOR
20411,donald trump,if donald trump is elected president i'm moving to nunavut to get away from these retards #trump #semst,UNKNOWN,trump is elected president i'm moving to nunavut to get,FAVOR
20412,donald trump,@jonathanhoenig @ericbolling errant vanity says up 2 usa about fighting isis,? is choosing when/where ISIS decided we will #SemST,hoenig @jonathanhoenig @ericbolling er,AGAINST
20413,donald trump,@realdonaldtrump let the haters run away. you can now see who  you're true supporters are. #semst,UNKNOWN,trumptrump let the haters run away.trump let the,AGAINST
20414,donald trump,liberalism is the politics of personal destruction! if liberals can't win- they will lie & demonize! they are paid to attack! #semst,UNKNOWN,liberalism is the politics of personal destruction!! if liberals can't win,AGAINST
20415,donald trump,normalize relations with isis for our economy,@ericbolling would you do it? there is a line what we should do for money. #SemST,relations with isis with isis for our economy. Normalize relations with isis for,AGAINST
20416,donald trump,@tommyhubb @jonathanhoenig obama sees everything through an anti-colonial prism.every move he makes degrades our nation.#cashinin #semst,UNKNOWN,@tommyhubb @jonathanhoenig obama,AGAINST
20417,donald trump,lighting that wh was so in your face to half of america,no class and so disrespectful..  #CashinIn   #SemST,that wh was so in your face to half of america that wh was so in your face,AGAINST
20418,donald trump,"@professorf @jessicatarlov and deluded shows and ""news"" reporters are not?!  #semst",UNKNOWN,"@jessicatarlov and deluded shows and ""news"" reporters are not",AGAINST
20419,donald trump,donald trump is way better than any candidate out there. because he's real,not a lobbyist backed puppet #Election2016 #SemST,is way better than any candidate out there. because donald trump is way better,FAVOR
20420,donald trump,@fnc_ladies_rule @michellefields @jonathanhoenig @jessicatarlov can't wait to get home and see the episode.  #semst,UNKNOWN,@michellefields @jonathanhoenig @jessica,FAVOR
20421,donald trump,"@realdonaldtrump has formed the ""racistublicans"". the political party for old fat assholes. #racistublicans  #republicans  #semst",UNKNOWN,"trumptrump has formed the ""racistublicans"". the political party",AGAINST
20422,donald trump,spending my fourth at taqueria with some homies. #murica  #semst,UNKNOWN,my fourth at taqueria with some homies. I am so happy to,FAVOR
20423,donald trump,@dagodfather907 @dare6626  hope the rotten sob don't choke :( #semst,UNKNOWN,907 @dagodfather907 @dare6626 @dare66,AGAINST
20424,donald trump,@hnstyngov @foxbusiness @realdonaldtrump meanwhile no democrat running has given anyone anywhere a job. other repubs just as bad. #semst,UNKNOWN,@foxbusiness @realdonaldtrump meanwhile no democrat running has given,AGAINST
20425,donald trump,@uproxx good,,@uproxxx @uproxxx @uproxxx @uproxx,FAVOR
20426,donald trump,nascar abandons trump. some good news to end my day with   #trump #semst,UNKNOWN,trump. nascar abandons trump. nascar abandon,AGAINST
20427,donald trump,@jonathanhoenig @realdonaldtrump @feldmaniac @mediaite support americas future boycott capitalist pig #semst,UNKNOWN,trump @realdonaldtrump @feldmaniac @mediaite support,AGAINST
20428,donald trump,@cindyreynolds i have to turn the channel,all I can do is stare at that nest on his head. #SemST,@cindyreynolds i have to turn the channel on. @cind,FAVOR
20429,donald trump,your so vain you probably....learn my winning blackjack approach start tweet#1... /71 #lifegoals  #rap   #soccer  #july4   #semst,UNKNOWN,.... i am so vain you probably.. #sems,AGAINST
20430,donald trump,trump slogan : then impeach me #continuedontheback : start learning your own god damned government and then why dont u run #semst,UNKNOWN,: then impeach me #continuedontheback : start learning your own,AGAINST
20431,donald trump,@realdonaldtrump don't care what anybody says. in november 2016,you will have my vote. Where can I get your bumper sticker?? #SemST,@realdonaldtrump don't care what anybody says. in november 2016,FAVOR
20432,donald trump,@johnnydollar01 @kilmeade that there can be complete #assholes like #semst,UNKNOWN,@kilmeade that there can be complete #assholes like #,AGAINST
20433,donald trump,donald trump stays roasting on twitter  #semst,UNKNOWN,trump tweets donald trump roasting on twitter #sem,AGAINST
20434,donald trump,@ffrnnu maybe #msm should be talking more about this and less about flags and cakes. #semst,UNKNOWN,@ffrnnu maybe #msm should be talking more about this and,AGAINST
20435,donald trump,donald trump is only saying what all the other 2016 gop presidential candidates are thinking! bad things!! #gop #trump #potus #semst,UNKNOWN,is saying what all the other 2016 gop presidential candidates are thinking! ! is saying,AGAINST
20436,donald trump,@tmz trump a guy born with a silver spoon up his ass who has never done a hard days work in his life  #dumptrump #yourefired  #semst,UNKNOWN,trumptrump trumptrumptrumptrump,AGAINST
20437,donald trump,we need a man that will do the tough negotiations,say what needs to be said and forget the words politically correct.  #thanks #SemST,a man that will do the tough negotiations. We need a man that will do the,FAVOR
20438,donald trump,@realdonaldtrump @reillycarole so he can outsource all our manufacturing to mexico and china like he does his line. #hypocrite #semst,UNKNOWN,@realdonaldtrump @reillycarole so he can out,AGAINST
20439,donald trump,@gerfingerpoken please rt the #impeachobama art at the top of this thread,pinned on my page. #SemST,@gerfingerpoken @gerfingerpoken @gerfinger,AGAINST
20440,donald trump,@newsmax_media  i bet the @realdonaldtrump does. this man knows how to save our country w/o tiptoeing around,playing games. #SemST,@newsmax_media @realdonaldtrump @newsmax_media @,AGAINST
20441,donald trump,@dannohollister @d2243 @breitbartnews it might be time for we the people to declare independence from the federal government! #semst,UNKNOWN,@dannohollister @d2243 @breitbartnews it might be,FAVOR
20442,donald trump,@huffingtonpost he probably does have facts! #semst,UNKNOWN,he probably does have facts! he probably does have facts! @huffington,FAVOR
20443,donald trump,today & everyday i am proud to be an american. i'm honored to be apart of the best the world has to offer! #4thofjuly #semst,UNKNOWN,i am proud to be an american. i am proud to be an american.,FAVOR
20444,donald trump,@realdonaldtrump notice the @stophillarypac didn't include you probly @karlrove hiding behind a name again #trump #trumpisright #semst,UNKNOWN,@realdonaldtrump @realdonaldtrump @realdonal,AGAINST
20445,donald trump,"@tuckercarlson #gaymarriage is the ""law of the land"" yet #immigration law is ignored. absurd! #lobotomizedliberals #liberallogic #semst",UNKNOWN,"#immigration is the ""law of the land"" yet #immigration law is",AGAINST
20446,donald trump,@jver1 @tgradous @lvnancy  i blame her death on the @potus he is directly responsible. he is pathetic. if i were her dad.... #semst,UNKNOWN,@tgradous @lvnancy i blame her death on the @pot,AGAINST
20447,donald trump,......and some,I assume,.......and some.......and some.......and some.......and some.......,FAVOR
20448,donald trump,the more big&rich hates @realdonaldtrump the more little&poor follows him 3103k  @hillaryclinton 3810k #election2016 #hillary2016 #semst,UNKNOWN,trump the more big&rich hates @realdonaldtrump the more little,AGAINST
20449,donald trump,@avocadofact only 2% of illegals work farm jobs #semst,UNKNOWN,ofactavocadofact only 2% of illegals work farm jobs #,AGAINST
20450,donald trump,@deehoer420 that's right. cnn = loser. anyone who has met trump knows he is a down to earth compassionate gentlemanman.  #semst,UNKNOWN,.. trump is a down to earth compassionate gentlemanman.,AGAINST
20451,donald trump,@inspirationguy u r a loser and jealous of me cos i'm rich #trumpwillbetheprezcoswinningisallhedoesunlikeyoulosersalsobanthetacos #semst,UNKNOWN,@inspirationguy u r a loser and jealous of me,AGAINST
20452,donald trump,coming soon to @nbcsports - muslim sports cid:7d8cc0c5-9231-4700-b63e-8cb2e0c1ec6c/22c1780b-c578-4ecd-9be0-ca3901d4eaf6 #semst,UNKNOWN,soon to @nbcsports - muslim sports - muslim,AGAINST
20453,donald trump,@realdonaldtrump i know i'm not the only person who can't wait to see your name on the presidential ballot and vote for you! #semst,UNKNOWN,trump i know i'm not the only person who can't wait,FAVOR
20454,donald trump,@hohn_jollis better than high-quality h2o farts #semst,UNKNOWN,_jollis better than high-quality h2o farts @h,FAVOR
20455,donald trump,@jebbush if the truth offends you,then you're part of the problem! #SemST,"if the truth offends you, @jebbush if the truth offen",FAVOR
20456,donald trump,political policies are reversible,genetics are not. That's why we must defend our borders from the third world.   #SemST,are reversible. Political policies are reversible.,FAVOR
20457,donald trump,@braveconwarrior stories like this make think patriots are at the end of the string. all kinds of shit is going to hit fan #semst,UNKNOWN,@braveconwarrior @semst #semst,FAVOR
20458,donald trump,@jackieaus @gerfingerpoken2 o hired by puppetmasters who put him in our wh w/coup to destroy america. #semst,UNKNOWN,@jackieaus @gerfingerpoken2 o hired by puppetmaster,AGAINST
20459,donald trump,another reagan the last thing we need! the #fatherofamnesty rewarded 3m criminals,displaced 1.9m in workforce! @DaGodfather907 #SemST,reagan the last we need! reagan the last we need! !,AGAINST
20460,donald trump,"redscarebot: ""filthy lucre"" rt valera927 the one promise #socialism can keep is keeping us all equally impoverished. #semst",UNKNOWN,rt valera927 the one promise #socialism can keep is keeping us all,AGAINST
20461,donald trump,it's time for @senate_gops @housegop to start doing their jobs for us citizens and stop giving in to @barackobama #semst,UNKNOWN,. @housegop @senate_gops @housegop to,FAVOR
20462,donald trump,@blackrepublican only if we stop allowing them 2 work & stop welfare they will self-deport #tcot #semst,UNKNOWN,only if we stop allowing them 2 work & stop welfare they will self-de,AGAINST
20463,donald trump,if greek prime minister alexis tsipras needs advice on emerging from bankruptcy,I'm available #greekreferendum #SemST,he needs advice on emerging from bankruptcy or tsipras needs advice on,AGAINST
20464,donald trump,"obama strategy: open our borders to change our culture  fundamental transformation into tijuana!"" #tcot #semst",UNKNOWN,obama strategy: open our borders to change our culture fundamental transformation into t,FAVOR
20465,donald trump,after the debacle of having passed o-care without reading it,O wants to pass comprehensive immigration in the same way! #SemST,"the debacle of having passed o-care without reading it, after the debac",FAVOR
20466,donald trump,anybody figure out yet that money don't make you happy #god does....if our politicians would just listen to our lord! #semst,UNKNOWN,money don't make you happy #god does....if our politicians would just listen to,AGAINST
20467,donald trump,what happens first? yellowstone blows or gop prez candidate calls trump racist? #semst,UNKNOWN,what happens first? trump slams obama for being,AGAINST
20468,donald trump,lying to justify political correctness is still nothing but a lie.   #teaparty #semst,UNKNOWN,to justify political correctness is still nothing but a lie. is still nothing but,AGAINST
20469,donald trump,@realdonaldtrump the thing i like about mr trump is that if he shoots himself in the foot,he can buy another.  #SemST,@realdonaldtrump @realdonaldtrump the thing i,FAVOR
20470,donald trump,@realdonaldtrump @virginia4usa @artistdeedd @howardkurtz we all mr. trump. #usa  #semst,UNKNOWN,@virginia4usa @artistdeedd @howardku,FAVOR
20471,donald trump,@realdonaldtrump you are absolutely right on the border! bush and company are afraid to address it! #makeamericagreatagain #semst,UNKNOWN,@realdonaldtrump @realdonaldtrump @realdonal,FAVOR
20472,donald trump,"@nbc to #trump: ""how dare you point out that obama causes 1000 girls to be raped every month crossing into usa!""  #ccot #tcot #semst",UNKNOWN,#ccot #tcot #semst #trump #ccot #t,AGAINST
20473,donald trump,"have you noticed how often the concept of ""living within your means"" is now described as ""ruthless austerity?""#tcot #semst",UNKNOWN,? #semst #tcot #semst #t,AGAINST
20474,donald trump,you have to wonder if hillary will attempt to replace #obamacare with #hillarycare. #tcot @realdonaldtrump #semst,UNKNOWN,. @realdonaldtrump #semst if hill,FAVOR
20475,donald trump,translation: i do not understand why the republicans don't dismiss him. #republicans #semst,UNKNOWN,False,AGAINST
20476,donald trump,good morning. i wake up on 8 pm,but is 10 pm...  That's Only Holiday :) #holiday #summer #sunrise #wakacyjnefolllowspree #SemST,. i wake up on 8 pm. good morning. i wake up on 8 pm,FAVOR
20477,donald trump,if you disagree with montel,You Are A Racist. #SemST,"montel, i agree with montel., i disagree with montel.",FAVOR
20478,donald trump,please,understand that Donald Trump mouth is full of shit due to his Mexican maid having access to his toothbrush. #SemST,"....,,,, please, please,",FAVOR
20479,donald trump,with his immigration policies pwr drunk #obama is setting himself up 2 b prez of mex when he gets evicted from wh  #tcot #semst,UNKNOWN,his immigration policies he is setting himself up 2 b prez of mex when,AGAINST
20480,donald trump,you know donald trump is in deep when most neo-conservatives call him out on his bullsh*t speech. #semst,UNKNOWN,trump is in deep when most neo-conservatives call him,AGAINST
20481,donald trump,americans of all pol parties are trusting you @realdonaldtrump - we know you will put #americafirst and #makeamericagreatagain #semst,UNKNOWN,- we know you will put #americafirst and #makeamericagreatagain -,FAVOR
20482,donald trump,white,male,.. white white white white white white white white white white white white,FAVOR
20483,donald trump,really @cnn? you're asking aloud whether a mexican who lives down to a stereotype,validates the stereotype? #immigration #SemST,@cnn? @cnn? @cnn? @cn,AGAINST
20484,donald trump,who doesn't love @sheriffclarke! a man who doesn't mince words!he's not going to sugarcoat it for you folks! #alllifematters #semst,UNKNOWN,a man! a man who doesn't mince words!!,FAVOR
20485,donald trump,@backatone000 @fatima_madsen this is a tragic outrage #semst,UNKNOWN,this is a tragic outrage000 @backatone000 @fatima_,AGAINST
20486,donald trump,@reptomemmer were you able to keep those riff raff constituents in line with rino headquarters --> @gop invasion program? #semst,UNKNOWN,@reptomemmer @reptomemmer @reptomemmer,AGAINST
20487,donald trump,you can get mooch's lunch,lib indoc,"..'s lunch. If you can get mooch's lunch, you",FAVOR
20488,donald trump,".@ashlandgirl101 @braveheart_usa don't just say ""no"" to killary - work tirelessly to put her in prison - where she belongs. #semst",UNKNOWN,. @ashlandgirl101 @braveheart_usa . @,FAVOR
20489,donald trump,if you condone the #supremecourt's decision on the marriage issue! you might be a liberal!!  #semst,UNKNOWN,you are a liberal!! if you condone the #supreme,FAVOR
20490,donald trump,i feel like the 2016 presidential race is @realdonaldtrump vs. matropolis ie the machine.    lets defeat the machine #semst,UNKNOWN,feel like the 2016 presidential race is @realdonaldtrump vs. mat,AGAINST
20491,donald trump,omg - #obama really believes #isis is made up of christians,Jews,- -g - - christians. #is,AGAINST
20492,donald trump,@toddstarnes the plan is on paper & in pencil. degrade = erase 1 letter at time destroy = throwing the paper away! #semst,UNKNOWN,dstarnesdstarnes the plan is on paper & in pencil. degrade,AGAINST
20493,donald trump,@standwithcj @ali she a cockroach. #holdtheline cj. there will be others to replace her. #semst,UNKNOWN,@ali @ali @ali @ali @ali @ali @ali @ali @ali,AGAINST
20494,donald trump,@lemurdue77 hey friend. that's not nice  #semst,UNKNOWN,@lemurdue77 hey friend. that's not nice. @lemur,AGAINST
20495,donald trump,@realdonaldtrump it's crazy how cowardly these big corporations are. i swear i'm campaigning for you !!!!! #semst,UNKNOWN,trump @realdonaldtrump i swear i'm campaigning,AGAINST
20496,donald trump,the donald & carley - perfect together! - #trump #semst,UNKNOWN,- - so perfect! - #trump #semst,FAVOR
20497,donald trump,the number of crimes committed by illegal aliens in the united states each year should be zero! #semst,UNKNOWN,! illegal aliens in the united states should be zero! #semst,AGAINST
20498,donald trump,25% of mexico has invaded america - & continues to occupy us  yet pos #rino phony #jeb blames #trump for telling the truth! - #semst,UNKNOWN,- & continues to occupy us - yet pos #rino,AGAINST
20499,donald trump,i've come to the horrid conclusion that conservatives just don't care what the democrats do. #semst,UNKNOWN,i've come to the horrid conclusion that conservatives just don't care,AGAINST
20500,donald trump,@marcorubio @governorperry @grahamblog @mcconnellpress your silence is deafening. #trumpisright #securetheborder #illegalaliens #semst,UNKNOWN,@grahamblog @grahamblog @grahamblog @grahamblog @m,AGAINST
20501,donald trump,@billgates can you reset my windows 98 password?? #semst,UNKNOWN,can you reset my windows 98 password?? ? @billgates can you reset,FAVOR
20502,donald trump,@greta trump a joke? ur guest is a fool. better a joke than traitor rinos. it's trump or no one for me. reps betrayed us. #semst,UNKNOWN,is is trump or no one? is trump a joke?,AGAINST
20503,donald trump,@realdonaldtrump @ericbolling gop wants to discredit mr. trump and his reputation clean like diamonds #usa #semst,UNKNOWN,@realdonaldtrump @ericbolling gop wants to discredit,AGAINST
20504,donald trump,@repgoodlatte a weak response on #kellyfile to obama blame @immigrationgop hit back at obama hard. #hannity #kellyfile #semst,UNKNOWN,a weak response on #kellyfile to obama blame @immigration,AGAINST
20505,donald trump,@realdonaldtrump everyone is afraid to put a plan on the table for fear they'll be called a racist...america deserves better #semst,UNKNOWN,trumptrumptrumptrump #semst #,AGAINST
20506,donald trump,get the truth from trump! @realdonaldtrump #semst,UNKNOWN,trump @realdonaldtrump #semstt #tru,FAVOR
20507,donald trump,@nachoquesado @kevinsnebula @iconogasmic @anarkitteh @alaindebotton your fired! #yourfired #upwithtrump #semst,UNKNOWN,@iconogasmic @anarkitteh @alaindebot,AGAINST
20508,donald trump,@ericbolling :).  sorry for the kidding but had to do that.  darn autocorrect.  #semst,UNKNOWN,@ericbolling :). :). :).,FAVOR
20509,donald trump,@1viperbabe where do these ppl get the idea theycan controlthe ppl,organization,@1viperbabe @1viperbabe @1viperbabe @,FAVOR
20510,donald trump,greece is our future.  pay attention.  #greekcrisis #semst,UNKNOWN,is our future. pay attention. is our future. pay attention. #greece,AGAINST
20511,donald trump,dick bove joins @ericbolling now to discuss the greece financial crisis. #hannity #semst,UNKNOWN,dick bove joins @ericbolling now to discuss the gree,AGAINST
20512,donald trump,@realdonaldtrump  just registered to vote today so i can contribute to help #makeamericagreatagain #honesty #semst,UNKNOWN,trump just registered to vote today so i can contribute to help #makeamericagreata,FAVOR
20513,donald trump,@realdonaldtrump you are the trump card of my heart. #semst,UNKNOWN,@realdonaldtrump you are the trump card of my heart.,AGAINST
20514,donald trump,@realdonaldtrump i'm rting every tweet you post! go get em mr. trump- you're reigniting the fire of the american spirit- fight! #semst,UNKNOWN,trump i'm rting every tweet you post! @realdonal,FAVOR
20515,donald trump,"@jimgaffigan no truth to the rumor that trump said today ""did i say mexicans? i meant bill cosby."" #cosby #semst",UNKNOWN,@jimgaffigan no truth to the rumor that trump said today,AGAINST
20516,donald trump,is it to early to start wearing shirts and sporting a bumper sticker? #semst,UNKNOWN,it too early to start wearing shirts and sporting a bumper sticker? shirts?,AGAINST
20517,donald trump,silence is golden,yes,is golden. Silence is golden. Silence is golden. Silence is golden. Sil,FAVOR
20518,donald trump,@realdonaldtrump: we have got to take our country back. it's time! win it mr. trump #semst,UNKNOWN,trump: we have to take our country back.trump: we have to take,FAVOR
20519,donald trump,who among us has never defamed an entire country on nat'l television while declaring candidacy for president? #perspective #semst,UNKNOWN,? ? ? ? ? ? ? ? ?,AGAINST
20520,donald trump,maybe #kathrynsteinle should have been wearing a rainbow t-shirt.... the public would be more outraged. #semst,UNKNOWN,a rainbow t-shirt?... maybe #kathrynsteinle,FAVOR
20521,donald trump,@outfrontcnn @cnn u cant lift sanctions & then slap then back on right away. who's that foolish? or deceitful? #irantalks #semst,UNKNOWN,@cnn @cnn u cant lift sanctions & then back on,AGAINST
20522,donald trump,@realdonaldtrump i feel the truth when mr. trump speaking,people need to understand who really cares about America #SemST,@realdonaldtrump i feel the truth when mr. trump,FAVOR
